iter	Passed	Remaining
419	2544	6543
420	2550	6536
421	2555	6527
422	2561	6522
423	2567	6514
424	2573	6508
425	2579	6502
426	2585	6496
427	2590	6488
428	2595	6479
429	2600	6471
430	2607	6467
431	2613	6461
432	2618	6453
433	2623	6444
434	2629	6438
435	2634	6430
436	2639	6421
437	2645	6413
438	2650	6406
439	2656	6399
440	2661	6391
441	2668	6386
442	2673	6379
443	2680	6374
444	2686	6368
445	2692	6362
446	2698	6356
447	2704	6351
448	2710	6344
449	2721	6351
450	2728	6346
451	2733	6338
452	2740	6333
453	2745	6326
454	2751	6319
455	2758	6315
456	2764	6309
457	2772	6307
458	2777	6300
459	2784	6295
460	2790	6288
461	2795	6281
462	2803	6277
463	2808	6271
464	2815	6267
465	2823	6264
466	2831	6263
467	2838	6259
468	2844	6253
469	2851	6249
470	2857	6243
471	2863	6237
472	2870	6231
473	2877	6227
474	2882	6220
475	2888	6212
476	2895	6210
477	2902	6204
478	2908	6199
479	2914	6193
480	2920	6186
481	2925	6177
482	2930	6169
483	2936	6164
484	2943	6161
485	2951	6158
486	2956	6150
487	2963	6144
488	2970	6140
489	2976	6134
490	2983	6131
491	2989	6124
492	2995	6118
493	3001	6112
494	3006	6104
495	3011	6096
496	3017	6089
497	3022	6082
498	3027	6073
499	3033	6066
500	3038	6058
501	3044	6053
502	3050	6047
503	3056	6040
504	3063	6035
505	3070	6030
506	3075	6024
507	3081	6017
508	3087	6010
509	3093	6004
510	3098	5997
511	3104	5991
512	3110	5983
513	3115	5976
514	3124	5975
515	3131	5970
516	3137	5965
517	3143	5958
518	3149	5952
519	3154	5944
520	3161	5940
521	3167	5933
522	3172	5926
523	3179	5921
524	3185	5915
525	3190	5907
526	3196	5902
527	3202	5894
528	3208	5890
529	3215	5884
530	3220	5877
531	3226	5870
532	3232	5864
533	3238	5857
534	3244	5851
535	3249	5845
536	3255	5838
537	3261	5831
538	3266	5823
539	3271	5815
540	3277	5809
541	3283	5803
542	3289	5798
543	3296	5793
544	3302	5786
545	3308	5781
546	3314	5775
547	3321	5769
548	3328	5766
549	3334	5759
550	3340	5752
551	3346	5747
552	3353	5742
553	3358	5734
554	3364	5729
555	3369	5721
556	3374	5713
557	3381	5707
558	3388	5704
559	3393	5696
560	3399	5689
561	3405	5683
562	3410	5675
563	3418	5673
564	3424	5666
565	3430	5660
566	3436	5655
567	3445	5653
568	3451	5646
569	3456	5640
570	3463	5634
571	3468	5627
572	3474	5621
573	3479	5613
574	3484	5606
575	3491	5600
576	3496	5593
577	3503	5588
578	3509	5582
579	3515	5576
580	3521	5569
581	3527	5563
582	3534	5559
583	3540	5553
584	3546	5546
585	3552	5541
586	3558	5534
587	3563	5527
588	3569	5521
589	3575	5514
590	3582	5509
591	3587	5503
592	3594	5497
593	3600	5491
594	3606	5485
595	3612	5478
596	3618	5472
597	3623	5465
598	3629	5459
599	3635	5453
600	3641	5446
601	3646	5439
602	3652	5433
603	3659	5428
604	3664	5421
605	3670	5415
606	3676	5408
607	3681	5401
608	3688	5396
609	3694	5389
610	3699	5382
611	3704	5375
612	3710	5369
613	3716	5362
614	3721	5355
615	3727	5348
616	3732	5342
617	3739	5336
618	3744	5330
619	3751	5324
620	3756	5317
621	3761	5310
622	3770	5307
623	3776	5301
624	3782	5295
625	3789	5290
626	3795	5284
627	3800	5276
628	3805	5269
629	3810	5261
630	3815	5254
631	3821	5247
632	3826	5241
633	3831	5233
634	3836	5226
635	3841	5218
636	3846	5211
637	3853	5206
638	3860	5202
639	3866	5195
640	3872	5189
641	3878	5183
642	3886	5179
643	3892	5173
644	3898	5168
645	3905	5162
646	3911	5156
647	3917	5150
648	3922	5143
649	3929	5138
650	3935	5132
651	3941	5126
652	3946	5119
653	3952	5112
654	3957	5106
655	3964	5101
656	3970	5095
657	3977	5089
658	3984	5085
659	3994	5083
660	3999	5076
661	4004	5069
662	4010	5062
663	4016	5056
664	4021	5049
665	4027	5043
666	4033	5037
667	4040	5032
668	4047	5027
669	4054	5022
670	4059	5015
671	4065	5009
672	4072	5004
673	4079	4999
674	4085	4993
675	4090	4985
676	4095	4979
677	4103	4975
678	4109	4969
679	4116	4964
680	4122	4957
681	4128	4951
682	4134	4945
683	4139	4938
684	4146	4933
685	4151	4926
686	4157	4919
687	4163	4913
688	4168	4907
689	4174	4900
690	4180	4894
691	4186	4888
692	4192	4881
693	4197	4875
694	4203	4868
695	4209	4862
696	4215	4857
697	4221	4850
698	4229	4847
699	4235	4840
700	4241	4833
701	4247	4828
702	4253	4822
703	4259	4816
704	4267	4812
705	4273	4806
706	4278	4799
707	4285	4793
708	4290	4787
709	4297	4781
710	4302	4774
711	4309	4769
712	4314	4762
713	4320	4756
714	4327	4750
715	4332	4743
716	4338	4737
717	4343	4731
718	4348	4723
719	4355	4718
720	4361	4711
721	4367	4705
722	4373	4699
723	4378	4693
724	4384	4686
725	4389	4680
726	4396	4674
727	4401	4667
728	4407	4661
729	4413	4655
730	4419	4648
731	4424	4642
732	4430	4635
733	4437	4630
734	4442	4624
735	4447	4617
736	4455	4612
737	4461	4606
738	4467	4600
739	4473	4594
740	4479	4587
741	4486	4582
742	4491	4576
743	4497	4570
744	4503	4564
745	4508	4557
746	4515	4551
747	4521	4545
748	4527	4539
749	4533	4533
750	4538	4526
751	4544	4519
752	4549	4513
753	4555	4506
754	4561	4500
755	4565	4493
756	4571	4486
757	4577	4480
758	4582	4474
759	4588	4467
760	4594	4461
761	4600	4455
762	4605	4448
763	4611	4442
764	4616	4435
765	4623	4430
766	4629	4424
767	4635	4418
768	4641	4412
