iter	Accuracy	Logloss
98	0.8175842235	0.3954544777
99	0.8172555464	0.3950261168
100	0.8170912079	0.3941197275
101	0.8172555464	0.393810464
102	0.8172555464	0.3933586046
103	0.817748562	0.3929680357
104	0.817419885	0.3924118961
105	0.8172555464	0.392001001
106	0.817419885	0.3917228264
107	0.8175842235	0.3911737668
108	0.817748562	0.3909375479
109	0.8182415776	0.3905251371
110	0.8179129006	0.3900522831
111	0.817748562	0.3898519494
112	0.817419885	0.3895592058
113	0.8175842235	0.3892311344
114	0.817419885	0.3888502016
115	0.817748562	0.3885450352
116	0.8167625308	0.387958006
117	0.8169268694	0.3879221267
118	0.8172555464	0.3870702181
119	0.8170912079	0.386981441
120	0.8175842235	0.3864669622
121	0.8175842235	0.3862418306
122	0.817748562	0.3859561748
123	0.8175842235	0.3856362115
124	0.8180772391	0.3851841782
125	0.8180772391	0.384910616
126	0.8187345933	0.3847439158
127	0.8190632703	0.384369128
128	0.8195562859	0.3838541897
129	0.8192276089	0.3828271748
130	0.8190632703	0.3823153336
131	0.8197206245	0.381875549
132	0.8193919474	0.3814834153
133	0.8192276089	0.3813805221
134	0.8193919474	0.3810704251
135	0.819884963	0.3807705457
136	0.8200493016	0.3804777282
137	0.819884963	0.3801266976
138	0.8203779786	0.3798418023
139	0.8203779786	0.3796387379
140	0.8208709942	0.3792720382
141	0.8215283484	0.3788253721
142	0.8213640099	0.3785169512
143	0.8215283484	0.3781518338
144	0.8211996713	0.3778837539
145	0.8228430567	0.3773565028
146	0.8230073952	0.3770443562
147	0.8228430567	0.3768055385
148	0.8230073952	0.376703395
149	0.8228430567	0.3765342366
150	0.8230073952	0.3765233483
151	0.8235004108	0.3763648873
152	0.8236647494	0.3763204991
153	0.8244864421	0.3760557337
154	0.8244864421	0.3759124029
155	0.8248151191	0.375685979
156	0.8246507806	0.3752942264
157	0.8249794577	0.3751470575
158	0.8249794577	0.3747660254
159	0.8256368118	0.3745179042
160	0.8256368118	0.373670095
161	0.8256368118	0.3732464128
162	0.8253081348	0.3730771323
163	0.8259654889	0.3728464971
164	0.8261298274	0.3726693649
165	0.8266228431	0.3724668423
166	0.8264585045	0.372215034
167	0.8266228431	0.3719888689
168	0.8264585045	0.3717450027
169	0.826294166	0.3715243927
170	0.8264585045	0.3712482985
171	0.8267871816	0.3710302689
